province,poor_people_62
กรุงเทพมหานคร,52907.19
สมุทรปราการ,12429.619999999999
นนทบุรี,4201.143
ปทุมธานี,4253.961
พระนครศรีอยุธยา,19946.5
อ่างทอง,43088.46
ลพบุรี,78618.12999999999
สิงห์บุรี,17138.79
ชัยนาท,52341.0
สระบุรี,6856.623
ชลบุรี,21747.5
ระยอง,7599.97
จันทบุรี,49310.8
ตราด,26244.95
ฉะเชิงเทรา,45251.17
ปราจีนบุรี,22131.77
นครนายก,21748.719999999998
สระแก้ว,119639.5
ราชบุรี,89296.97
กาญจนบุรี,68592.5
สุพรรณบุรี,99535.69
นครปฐม,7522.533
สมุทรสาคร,7936.377
สมุทรสงคราม,10998.76
เพชรบุรี,31168.379999999997
ประจวบคีรีขันธ์,15421.22
เชียงใหม่,86895.21
ลำพูน,13773.65
ลำปาง,37494.280000000006
อุตรดิตถ์,25104.5
แพร่,27762.920000000002
น่าน,42001.7
พะเยา,23340.25
เชียงราย,101696.20000000001
แม่ฮ่องสอน,59871.07
นครสวรรค์,43541.11
อุทัยธานี,10435.359999999999
กำแพงเพชร,26142.800000000003
ตาก,112774.0
สุโขทัย,47408.270000000004
พิษณุโลก,43101.3
พิจิตร,4671.893
เพชรบูรณ์,52167.409999999996
นครราชสีมา,340662.10000000003
บุรีรัมย์,171331.0
สุรินทร์,80050.43999999999
ศรีสะเกษ,67677.04000000001
อุบลราชธานี,207022.8
ยโสธร,46770.35999999999
ชัยภูมิ,28443.64
อำนาจเจริญ,12790.47
บึงกาฬ,4635.293
หนองบัวลำภู,62655.15
ขอนแก่น,40399.810000000005
อุดรธานี,51568.44
เลย,22819.85
หนองคาย,8790.008
มหาสารคาม,29801.24
ร้อยเอ็ด,26850.22
กาฬสินธุ์,160981.59999999998
สกลนคร,77848.76
นครพนม,66056.42
มุกดาหาร,43725.61
นครศรีธรรมราช,193254.6
กระบี่,23948.399999999998
พังงา,6858.786
ภูเก็ต,2357.935
สุราษฎร์ธานี,61775.47
ระนอง,45044.87
ชุมพร,16022.749999999998
สงขลา,99103.51
สตูล,43376.01
ตรัง,55028.97
พัทลุง,91808.25
ปัตตานี,191278.5
ยะลา,66095.17
นราธิวาส,185229.3
