province,district,subdistrict,population_63,household_63
กรุงเทพมหานคร,ท้องถิ่นเขตพระนคร,พระบรมมหาราชวัง,3346,1207
กรุงเทพมหานคร,ท้องถิ่นเขตพระนคร,วังบูรพาภิรมย์,9650,5363
กรุงเทพมหานคร,ท้องถิ่นเขตพระนคร,วัดราชบพิธ,3071,979
กรุงเทพมหานคร,ท้องถิ่นเขตพระนคร,สำราญราษฎร์,2940,1127
กรุงเทพมหานคร,ท้องถิ่นเขตพระนคร,ศาลเจ้าพ่อเสือ,2959,999
กรุงเทพมหานคร,ท้องถิ่นเขตพระนคร,เสาชิงช้า,2049,698
กรุงเทพมหานคร,ท้องถิ่นเขตพระนคร,บวรนิเวศ,4083,1573
กรุงเทพมหานคร,ท้องถิ่นเขตพระนคร,ตลาดยอด,2134,1190
กรุงเทพมหานคร,ท้องถิ่นเขตพระนคร,ชนะสงคราม,1776,830
กรุงเทพมหานคร,ท้องถิ่นเขตพระนคร,บ้านพานถม,6092,2017
กรุงเทพมหานคร,ท้องถิ่นเขตพระนคร,บางขุนพรหม,4063,2183
กรุงเทพมหานคร,ท้องถิ่นเขตพระนคร,วัดสามพระยา,2760,971
กรุงเทพมหานคร,ท้องถิ่นเขตดุสิต,ดุสิต,11365,2535
กรุงเทพมหานคร,ท้องถิ่นเขตดุสิต,วชิรพยาบาล,10116,3049
กรุงเทพมหานคร,ท้องถิ่นเขตดุสิต,สวนจิตรลดา,6564,2102
กรุงเทพมหานคร,ท้องถิ่นเขตดุสิต,สี่แยกมหานาค,7090,2422
กรุงเทพมหานคร,ท้องถิ่นเขตดุสิต,ถนนนครไชยศรี,48762,21545
กรุงเทพมหานคร,ท้องถิ่นเขตหนองจอก,กระทุ่มราย,40146,16400
กรุงเทพมหานคร,ท้องถิ่นเขตหนองจอก,หนองจอก,22945,8368
กรุงเทพมหานคร,ท้องถิ่นเขตหนองจอก,คลองสิบ,9186,2450
กรุงเทพมหานคร,ท้องถิ่นเขตหนองจอก,คลองสิบสอง,11858,4369
กรุงเทพมหานคร,ท้องถิ่นเขตหนองจอก,โคกแฝด,34401,12138
กรุงเทพมหานคร,ท้องถิ่นเขตหนองจอก,คู้ฝั่งเหนือ,17927,6294
กรุงเทพมหานคร,ท้องถิ่นเขตหนองจอก,ลำผักชี,31810,13743
กรุงเทพมหานคร,ท้องถิ่นเขตหนองจอก,ลำต้อยติ่ง,9706,2992
กรุงเทพมหานคร,ท้องถิ่นเขตบางรัก,มหาพฤฒาราม,10527,6477
กรุงเทพมหานคร,ท้องถิ่นเขตบางรัก,สีลม,17674,12502
กรุงเทพมหานคร,ท้องถิ่นเขตบางรัก,สุริยวงศ์,4526,4923
กรุงเทพมหานคร,ท้องถิ่นเขตบางรัก,บางรัก,2672,1446
กรุงเทพมหานคร,ท้องถิ่นเขตบางรัก,สี่พระยา,10358,7023
กรุงเทพมหานคร,ท้องถิ่นเขตบางเขน,อนุสาวรีย์,89719,60370
กรุงเทพมหานคร,ท้องถิ่นเขตบางเขน,ท่าแร้ง,97658,54291
