province,district,subdistrict,population_63,household_63,region,avg_income_62,employ_62,unemploy_62,poor_people_62
กรุงเทพมหานคร,ท้องถิ่นเขตพระนคร,พระบรมมหาราชวัง,3346,1207,ภาคกลาง,39459.36,5264292.95,32313.31,52907.19
กรุงเทพมหานคร,ท้องถิ่นเขตพระนคร,วังบูรพาภิรมย์,9650,5363,ภาคกลาง,39459.36,5264292.95,32313.31,52907.19
กรุงเทพมหานคร,ท้องถิ่นเขตพระนคร,วัดราชบพิธ,3071,979,ภาคกลาง,39459.36,5264292.95,32313.31,52907.19
กรุงเทพมหานคร,ท้องถิ่นเขตพระนคร,สำราญราษฎร์,2940,1127,ภาคกลาง,39459.36,5264292.95,32313.31,52907.19
กรุงเทพมหานคร,ท้องถิ่นเขตพระนคร,ศาลเจ้าพ่อเสือ,2959,999,ภาคกลาง,39459.36,5264292.95,32313.31,52907.19
กรุงเทพมหานคร,ท้องถิ่นเขตพระนคร,เสาชิงช้า,2049,698,ภาคกลาง,39459.36,5264292.95,32313.31,52907.19
กรุงเทพมหานคร,ท้องถิ่นเขตพระนคร,บวรนิเวศ,4083,1573,ภาคกลาง,39459.36,5264292.95,32313.31,52907.19
กรุงเทพมหานคร,ท้องถิ่นเขตพระนคร,ตลาดยอด,2134,1190,ภาคกลาง,39459.36,5264292.95,32313.31,52907.19
กรุงเทพมหานคร,ท้องถิ่นเขตพระนคร,ชนะสงคราม,1776,830,ภาคกลาง,39459.36,5264292.95,32313.31,52907.19
กรุงเทพมหานคร,ท้องถิ่นเขตพระนคร,บ้านพานถม,6092,2017,ภาคกลาง,39459.36,5264292.95,32313.31,52907.19
กรุงเทพมหานคร,ท้องถิ่นเขตพระนคร,บางขุนพรหม,4063,2183,ภาคกลาง,39459.36,5264292.95,32313.31,52907.19
กรุงเทพมหานคร,ท้องถิ่นเขตพระนคร,วัดสามพระยา,2760,971,ภาคกลาง,39459.36,5264292.95,32313.31,52907.19
กรุงเทพมหานคร,ท้องถิ่นเขตดุสิต,ดุสิต,11365,2535,ภาคกลาง,39459.36,5264292.95,32313.31,52907.19
กรุงเทพมหานคร,ท้องถิ่นเขตดุสิต,วชิรพยาบาล,10116,3049,ภาคกลาง,39459.36,5264292.95,32313.31,52907.19
กรุงเทพมหานคร,ท้องถิ่นเขตดุสิต,สวนจิตรลดา,6564,2102,ภาคกลาง,39459.36,5264292.95,32313.31,52907.19
กรุงเทพมหานคร,ท้องถิ่นเขตดุสิต,สี่แยกมหานาค,7090,2422,ภาคกลาง,39459.36,5264292.95,32313.31,52907.19
กรุงเทพมหานคร,ท้องถิ่นเขตดุสิต,ถนนนครไชยศรี,48762,21545,ภาคกลาง,39459.36,5264292.95,32313.31,52907.19
กรุงเทพมหานคร,ท้องถิ่นเขตหนองจอก,กระทุ่มราย,40146,16400,ภาคกลาง,39459.36,5264292.95,32313.31,52907.19
